"stimulusFile","stimulus","accuracy","rt","participant","gender","age","condition","stimulus_category"
"stimuliBlock1.xlsx","Verkeerd",1,1711,102,"f",26,2,"false"
"stimuliBlock1.xlsx","Onjuist",1,1351,102,"f",26,2,"false"
"stimuliBlock1.xlsx","Correct",1,1165,102,"f",26,2,"true"
"stimuliBlock1.xlsx","Fout",1,1250,102,"f",26,2,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1350,102,"f",26,2,"false"
"stimuliBlock1.xlsx","Incorrect",1,1498,102,"f",26,2,"false"
"stimuliBlock1.xlsx","Mis",1,1284,102,"f",26,2,"false"
"stimuliBlock1.xlsx","Goed",1,1169,102,"f",26,2,"true"
"stimuliBlock1.xlsx","Exact",1,1201,102,"f",26,2,"true"
"stimuliBlock1.xlsx","Juist",1,1263,102,"f",26,2,"true"
"stimuliBlock1.xlsx","Exact",1,1761,103,"m",23,3,"true"
"stimuliBlock1.xlsx","In orde",1,1498,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Onjuist",1,1354,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Correct",1,1353,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Fout",1,1339,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Goed",1,1355,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Mis",1,1440,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1404,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1307,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Juist",1,1289,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Exact",1,1290,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Fout",1,1274,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Mis",1,1558,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Onjuist",1,1373,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Juist",1,1290,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Incorrect",1,1290,103,"m",23,3,"false"
"stimuliBlock1.xlsx","In orde",1,1372,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Goed",1,1475,103,"m",23,3,"true"
